접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔22040,영)선봉모바일1호점,선봉모바일,후불)텔링크SK,원세영
S텔26046,열)제이에이치모바일(오산),제이에이치모바일,후불)텔링크SK,박종열
S텔26023,구)좋은선택주식회사,좋은선택 주식회사 라페점,후불)텔링크SK,서승구
S텔23647,민)스마트정석,스마트정석,후불)텔링크SK,김민준
S텔26355,민)말랑팩토리,말랑팩토리,후불)텔링크SK,김민준
S텔22842,웅)(주)더케이(김해),(주)더케이,후불)텔링크SK,정선웅
S텔20533,구)(주)셈틀정보통신,(주)셈틀정보통신,후불)텔링크SK,서승구
S텔23371,준)(주)스마일커뮤니티,알뜰통신,후불)텔링크SK,황병준
S텔23367,준)(주)스마일커뮤니티,주식회사스마일커뮤니티,후불)텔링크SK,황병준
S텔23366,준)(주)스마일커뮤니티,주식회사스마일커뮤니티착한통신,후불)텔링크SK,황병준
S텔23269,준)(주)스마일커뮤니티,휴대폰천하통일,후불)텔링크SK,황병준
S텔26443,준)(주)스마일커뮤니티,휴대폰성지당곡점,후불)텔링크SK,황병준
S텔21207,구)(주)알케이유통(안산),주식회사 알케이유통,후불)텔링크SK,서승구
S텔25531,열)(주)유어케이스이대지점(마포),주식회사유어케이스이대지점,후불)텔링크SK,박종열
S텔25282,열)(주)이루다홀딩스,㈜이루다홀딩스-지점제로,후불)텔링크SK,박종열
S텔25075,열)(주)이루다홀딩스,제로모바일,후불)텔링크SK,박종열
S텔22815,열)(주)이루다홀딩스,주식회사이루다홀딩스(원동폰),후불)텔링크SK,박종열
S텔22778,열)(주)이루다홀딩스,㈜이루다홀딩스-지점서정폰,후불)텔링크SK,박종열
S텔25483,열)(주)이루다홀딩스,㈜이루다홀딩스-(평택폰),후불)텔링크SK,박종열
S텔25568,열)(주)이루다홀딩스,㈜이루다홀딩스-지점송북폰,후불)텔링크SK,박종열
S텔25570,열)(주)이루다홀딩스,주식회사이루다홀딩스-지점,후불)텔링크SK,박종열
S텔25176,열)(주)지니모바일(위례),(주)지니모바일 위례점,후불)텔링크SK,박종열
S텔25054,열)(주)케이씨엘(성남),(주)케이씨엘,후불)텔링크SK,박종열
S텔23030,열)(주)프론티어홀딩스,주식회사 프론티어홀딩스,후불)텔링크SK,박종열
S텔24291,열)(주)프리엠(광주),주)프리엠,후불)텔링크SK,박종열
S텔24988,열)(주)핸드폰마을,(주)핸드폰마을천호점,후불)텔링크SK,박종열
S텔25143,열)(주)핸드폰마을2,(주)핸드폰마을2,후불)텔링크SK,박종열
S텔24634,영)(주)현성네트워크(청주),(주)현성네트워크),후불)텔링크SK,원세영
S텔20948,구)010통신(문경),010통신,후불)텔링크SK,서승구
S텔21638,영)1백점만점,1백점만점,후불)텔링크SK,원세영
S텔21634,영)2백점만점(월계),2백점만점,후불)텔링크SK,원세영
S텔25330,구)365정보통신(영월),365정보통신,후불)텔링크SK,서승구
S텔21595,영)3백점만점,3백점만점,후불)텔링크SK,원세영
S텔22143,구)555텔레콤,555텔레콤,후불)텔링크SK,서승구
S텔20428,열)88컴퍼니(용인),88컴퍼니,후불)텔링크SK,박종열
S텔26320,수)가등(경산),가등,후불)텔링크SK,김성수
S텔16338,웅)가람모바일,가람모바일,후불)텔링크SK,정선웅
S텔20200,구)가람통신(화성),가람통신,후불)텔링크SK,서승구
S텔24602,민)비피엠통신(파주),비피엠 통신,후불)텔링크SK,김민준
S텔26064,민)가비텔레콤(부천),가비텔레콤,후불)텔링크SK,김민준
S텔24607,민)가온(개봉),가온,후불)텔링크SK,김민준
S텔21418,열)가온센텀(여수),휴대폰디지털프라자,후불)텔링크SK,박종열
S텔25779,웅)가온컴퍼니 주식회사(김해),가온컴퍼니 주식회사,후불)텔링크SK,정선웅
S텔20949,웅)가재울휴대폰,가재울휴대폰,후불)텔링크SK,정선웅
S텔24570,열)가족통신(용인),가족통신,후불)텔링크SK,박종열
S텔20618,열)가족통신(용인),가족통신,후불)텔링크SK,박종열
S텔22515,열)감자통신(김해),감자통신,후불)텔링크SK,박종열
S텔22988,열)강남엔젤폰,강남엔젤폰,후불)텔링크SK,박종열
S텔22168,영)강동텔레콤(강변TM),강동텔레콤,후불)텔링크SK,원세영
S텔24294,영)강아통신,강아통신,후불)텔링크SK,원세영
S텔26110,열)개금통신(부산),개금통신,후불)텔링크SK,박종열
S텔20956,구)갤럭시(진주),갤럭시,후불)텔링크SK,서승구
S텔16433,구)거창통신,거창통신,후불)텔링크SK,서승구
S텔20351,구)건강모바일(수유),건강모바일,후불)텔링크SK,서승구
S텔25813,열)겸손통신(광주),겸손통신,후불)텔링크SK,박종열
S텔22780,열)경동텔레콤,경동정보통신,후불)텔링크SK,박종열
S텔20498,수)경북정보통신(안동),경북 정보통신,후불)텔링크SK,김성수
S텔22127,영)경산중고폰거래소,경산중고폰거래소,후불)텔링크SK,원세영
S텔21787,열)고려(포항),고려,후불)텔링크SK,박종열
S텔21484,구)고려모바일(아산),고려모바일,후불)텔링크SK,서승구
S텔16247,웅)고릴라폰,의정부중고폰 핸드폰 선불폰 지하상가 고릴라폰,후불)텔링크SK,정선웅
S텔23352,수)고봉국제무역(용산),주식회사 고봉국제무역,후불)텔링크SK,김성수
S텔21800,수)고양폰(고양),고양폰,후불)텔링크SK,김성수
S텔21760,준)곡성텔레콤,곡성텔레콤,후불)텔링크SK,황병준
S텔15775,열)곤지암통신,곤지암통신,후불)텔링크SK,박종열
S텔19358,웅)골드텔레콤(수유),골드텔레콤 수유점,후불)텔링크SK,정선웅
S텔21773,영)골든벨,골든벨,후불)텔링크SK,원세영
S텔20884,영)공짜나라(김천),공짜나라,후불)텔링크SK,원세영
S텔23963,열)광교휴대폰성지모두의폰(수원),광교휴대폰성지 모두의폰,후불)텔링크SK,박종열
S텔22091,열)광주통신(광주),"광주통신,GG상사",후불)텔링크SK,박종열
S텔21680,열)광주폰카페,폰카페,후불)텔링크SK,박종열
S텔21621,수)광통신,광통신,후불)텔링크SK,김성수
S텔23895,열)광통신(여주),광통신,후불)텔링크SK,박종열
S텔21609,영)광희통신(속초),광희통신(고속터미널점),후불)텔링크SK,원세영
S텔16081,영)구구텔레콤(인천),구구텔레콤,후불)텔링크SK,원세영
S텔17283,열)구구폰(용인),구구폰,후불)텔링크SK,박종열
S텔21165,구)구백억(중곡동),구백억(중곡동),후불)텔링크SK,서승구
S텔22290,웅)구찌통신,구찌통신,후불)텔링크SK,정선웅
S텔25108,우)국대폰(어룡역점),휴대폰클리닉,후불)텔링크SK,김선우
S텔20858,우)국대폰(어룡역점),국대폰(어룡역점),후불)텔링크SK,김선우
S텔26090,우)국대폰(어룡역점),사랑으로,후불)텔링크SK,김선우
S텔26186,우)국대폰(어룡역점),에프티브로 핸드폰클리닉 구의점,후불)텔링크SK,김선우
S텔25789,우)국대폰(어룡역점),㈜여담,후불)텔링크SK,김선우
S텔16550,구)굿데이텔레콤,굿데이텔레콤,후불)텔링크SK,서승구
S텔16270,웅)굿모닝(외대점),굿모닝외대점,후불)텔링크SK,정선웅
S텔20074,열)굿모닝모바일(부산),굿모닝모바일2,후불)텔링크SK,박종열
S텔21368,구)굿모닝목4점,굿모닝 당산,후불)텔링크SK,서승구
S텔20170,수)굿모닝정보통신,굿모닝정보통신,후불)텔링크SK,김성수
S텔20556,구)그린모바일(부산),그린모바일,후불)텔링크SK,서승구
S텔22300,수)그린서비스센터(공주),공주 그린서비스센터,후불)텔링크SK,김성수
S텔22070,열)그린이동통신(대전),그린이동통신,후불)텔링크SK,박종열
S텔16396,웅)그린정보통신,그린정보통신,후불)텔링크SK,정선웅
S텔25114,수)글로벌모바일,글로벌모바일,후불)텔링크SK,김성수
S텔23439,영)글로벌시스템(안양),글로벌시스템,후불)텔링크SK,원세영
S텔21895,영)글로벌통신,글로벌통신,후불)텔링크SK,원세영
S텔23563,열)글로벌통신(오산),아프리카폰,후불)텔링크SK,박종열
S텔23704,열)글컴정보통신(용인),(주)글컴정보통신,후불)텔링크SK,박종열
S텔25606,열)금동통신(부산),금동통신,후불)텔링크SK,박종열
S텔18855,열)금복통신(광주),금복통신,후불)텔링크SK,박종열
S텔20846,수)금영미래통신(안산),금영미래통신,후불)텔링크SK,김성수
S텔21021,구)금이텔레콤(군산),금이텔레콤,후불)텔링크SK,서승구
S텔18599,영)금정모바일(부산동래),금정모바일,후불)텔링크SK,원세영
S텔17254,수)금촌폰,금촌폰,후불)텔링크SK,김성수
S텔17537,구)기준(전주시),기준(전주시),후불)텔링크SK,서승구
S텔17538,영)길상모바일,길상모바일,후불)텔링크SK,원세영
S텔20903,구)길통신(남원),길통신,후불)텔링크SK,서승구
S텔23985,웅)김밥모바일(영등포),김밥모바일,후불)텔링크SK,정선웅
S텔20648,수)김포아저씨,김포아저씨,후불)텔링크SK,김성수
S텔19098,수)까래통신(공주),까래통신,후불)텔링크SK,김성수
S텔23003,웅)꽁돈버는 머니폰(영천),꽁돈버는 머니폰,후불)텔링크SK,정선웅
S텔20154,수)꽃남통신(구의),꽃남통신,후불)텔링크SK,김성수
S텔21479,구)꿀통신(임실군),꿀통신,후불)텔링크SK,서승구
S텔24097,웅)끼우칭모바일,끼우칭모바일,후불)텔링크SK,정선웅
S텔23257,영)나누리통신(인천),(주)나누리통신,후불)텔링크SK,원세영
S텔24234,구)나라통신(고창),나라통신,후불)텔링크SK,서승구
S텔22757,웅)나라통신(안산),나라통신,후불)텔링크SK,정선웅
S텔20344,열)나래통신(대전),나래통신,후불)텔링크SK,박종열
S텔25079,수)나린텔레콤(고양),나린텔레콤,후불)텔링크SK,김성수
S텔20907,웅)나무커머스,나무커머스,후불)텔링크SK,정선웅
S텔20421,웅)나바인터내셔널,나바인터내셔널,후불)텔링크SK,정선웅
S텔23695,열)나인모바일(광주),나인모바일,후불)텔링크SK,박종열
S텔20607,구)나인모바일(안산),나인모바일,후불)텔링크SK,서승구
S텔17543,웅)낙원통신,낙원통신,후불)텔링크SK,정선웅
S텔25283,열)남부폰,남부폰,후불)텔링크SK,박종열
S텔16463,민)남서울정보통신,남서울정보통신(주),후불)텔링크SK,김민준
S텔22170,열)남양본가,휴대폰아울렛(남양본가),후불)텔링크SK,박종열
S텔25670,구)남원네이트대리점,남원네이트대리점,후불)텔링크SK,서승구
S텔25871,영)내포텔레콤(예산),내포텔레콤,후불)텔링크SK,원세영
S텔26449,구)내포텔레콤(홍성),내포텔레콤,후불)텔링크SK,서승구
S텔24341,수)넘버원,넘버원,후불)텔링크SK,김성수
S텔25952,민)네온통신(안산),네온통신,후불)텔링크SK,김민준
S텔20939,영)네이버정보통신(구미),네이버정보통신,후불)텔링크SK,원세영
S텔20987,수)네팔모바일(수원),네팔모바일,후불)텔링크SK,김성수
S텔19760,민)노마진모바일(인천),노마진모바일,후불)텔링크SK,김민준
S텔25550,영)누리컴퍼니,누리컴퍼니,후불)텔링크SK,원세영
S텔16320,웅)뉴디지털정보통신,뉴디지털정보통신,후불)텔링크SK,정선웅
S텔20898,우)뉴서울정보통신,뉴서울정보통신,후불)텔링크SK,김선우
S텔20165,수)뉴아마존(안산),뉴아마존,후불)텔링크SK,김성수
S텔16468,웅)뉴야탑통신,뉴야탑통신,후불)텔링크SK,정선웅
S텔22042,수)뉴엔탑통신(동인천),뉴엔탑통신,후불)텔링크SK,김성수
S텔20716,영)뉴코아텔레콤(이천),뉴코아텔레콤2,후불)텔링크SK,원세영
S텔20171,영)뉴폰(오산),뉴폰,후불)텔링크SK,원세영
S텔21855,수)닉카컴퍼니(마석),닉카컴퍼니(NIKA Company),후불)텔링크SK,김성수
S텔23576,열)다모아통신(해남),다모아통신,후불)텔링크SK,박종열
S텔24412,웅)다바다(조치원),다바다,후불)텔링크SK,정선웅
S텔20425,웅)다산텔레콤,다산텔레콤,후불)텔링크SK,정선웅
S텔21885,수)다산통신,다산통신,후불)텔링크SK,김성수
S텔21868,수)다연통신(하남),다연통신,후불)텔링크SK,김성수
S텔21358,웅)다예통신,휴대폰할인매장,후불)텔링크SK,정선웅
S텔22176,영)다온모바일(위례),다온모바일(위례),후불)텔링크SK,원세영
S텔25679,열)다온모바일(하남),다온모바일,후불)텔링크SK,박종열
S텔20842,구)다온정보통신,다온정보통신,후불)텔링크SK,서승구
S텔20702,웅)다온텔레콤,다온텔레콤,후불)텔링크SK,정선웅
S텔20860,수)다온통신(진접),다온통신,후불)텔링크SK,김성수
S텔22374,수)다올텔레콤(왕십리),다올텔레콤,후불)텔링크SK,김성수
S텔24221,민)아프리카중고폰(광명),아프리카중고폰 광명일직지사,후불)텔링크SK,김민준
S텔22165,구)다움(태안),다움,후불)텔링크SK,서승구
S텔16496,영)다원텔레콤(용인),다원텔레콤,후불)텔링크SK,원세영
S텔16430,열)다원통신(평택),다원통신,후불)텔링크SK,박종열
S텔16203,영)다원TC장안,다원TC장안,후불)텔링크SK,원세영
S텔25196,준)다윗모바일(인천),다윗모바일,후불)텔링크SK,황병준
S텔23976,민)다음통신(광명),다음통신,후불)텔링크SK,김민준
S텔20139,영)다이아(전주),다이아,후불)텔링크SK,원세영
S텔24582,열)다인정보(광주),다인정보,후불)텔링크SK,박종열
S텔16482,구)다인통신,다인통신,후불)텔링크SK,서승구
S텔23994,수)다정모바일(호평),다정모바일,후불)텔링크SK,김성수
S텔26446,영)다존텔레콤(상일),다존텔레콤,후불)텔링크SK,원세영
S텔20912,수)닥터폰(운천),닥터폰 인하텔레콤,후불)텔링크SK,김성수
S텔22742,열)단군통신(화성),우정통신,후불)텔링크SK,박종열
S텔21780,영)단대오거리통신,단대오거리통신,후불)텔링크SK,원세영
S텔22931,웅)단무지(선한텔레콤),선한모바일,후불)텔링크SK,정선웅
S텔23180,영)단비2호점,단비2호점,후불)텔링크SK,원세영
S텔23461,열)단해텔레콤(인천),단해텔레콤,후불)텔링크SK,박종열
S텔20947,웅)달빛,달빛,후불)텔링크SK,정선웅
S텔24405,영)담현컴퍼니(대구),주식회사 담현컴퍼니,후불)텔링크SK,원세영
S텔23558,영)담현컴퍼니(대구),디앤에스,후불)텔링크SK,원세영
S텔18476,영)담현컴퍼니(대구),스카이K1,후불)텔링크SK,원세영
S텔25957,영)담현컴퍼니(대구),이덴통신,후불)텔링크SK,원세영
S텔26371,영)담현컴퍼니(대구),개소리,후불)텔링크SK,원세영
S텔25033,구)당정모바일(군포),당정모바일,후불)텔링크SK,서승구
S텔20843,수)대감텔레콤(미아),대감텔레콤,후불)텔링크SK,김성수
S텔19637,열)대도모바일2호점,대도모바일2호점,후불)텔링크SK,박종열
S텔19398,민)대명정보통신,대명정보통신,후불)텔링크SK,김민준
S텔22985,열)대명폰(오산),대명폰,후불)텔링크SK,박종열
S텔22994,열)대명폰2호점(오산),대명폰 2호점,후불)텔링크SK,박종열
S텔19722,열)대명폰3호점(오산),대명폰 3호점,후불)텔링크SK,박종열
S텔25740,열)대박모바일(김포),대박모바일,후불)텔링크SK,박종열
S텔21211,구)대박텔레콤(장안동),대박텔레콤(장안동),후불)텔링크SK,서승구
S텔20991,영)대박통신(감일),대박통신 감일점,후불)텔링크SK,원세영
S텔20645,웅)대박통신(덕풍동),대박통신,후불)텔링크SK,정선웅
S텔26224,열)대박통신(송산),대박통신(송산점),후불)텔링크SK,박종열
S텔21524,웅)대박통신(수원),대박,후불)텔링크SK,정선웅
S텔20362,민)대박통신(시흥),대박통신,후불)텔링크SK,김민준
S텔24343,수)대박통신(자양),대박통신 자양,후불)텔링크SK,김성수
S텔22211,열)대박통신(조암),대박통신,후불)텔링크SK,박종열
S텔21443,열)대박통신(화성),대박통신(행정점),후불)텔링크SK,박종열
S텔21637,수)대박MK텔레콤(둔촌),대박MK텔레콤,후불)텔링크SK,김성수
S텔21751,열)대상정보,대상정보통신,후불)텔링크SK,박종열
S텔22206,수)대상텔레콤,대상텔레콤,후불)텔링크SK,김성수
S텔25190,열)대성아이티(강동),대성아이티(강동),후불)텔링크SK,박종열
S텔20913,수)대우통신(일동),대우통신,후불)텔링크SK,김성수
S텔24503,열)대전모바일,대전모바일,후불)텔링크SK,박종열
S텔20153,수)대정씨앤씨(왕십리),대정씨앤씨,후불)텔링크SK,김성수
S텔23948,수)대한텔레콤(답십리),대한텔레콤,후불)텔링크SK,김성수
S텔22233,수)대한통신(의정부),대한통신,후불)텔링크SK,김성수
S텔20856,영)대호정보통신,대호정보통신,후불)텔링크SK,원세영
S텔21844,영)더굿컴퍼니,더굿컴퍼니,후불)텔링크SK,원세영
S텔21654,영)더굿컴퍼니,수진텔레콤,후불)텔링크SK,원세영
S텔20142,구)더더,주식회사 더더컴퍼니,후불)텔링크SK,서승구
S텔21704,구)더모스트,더모스트모바일,후불)텔링크SK,서승구
S텔25018,민)더본모바일,더본모바일,후불)텔링크SK,김민준
S텔16625,민)더본모바일,더본모바일,후불)텔링크SK,김민준
S텔16602,열)더블와이컴퍼니(중곡동),더블와이컴퍼니(중곡),후불)텔링크SK,박종열
S텔25874,열)더블유비컴퍼니,더블유비컴퍼니,후불)텔링크SK,박종열
S텔21753,구)더블케이대박통신,더블케이대박통신,후불)텔링크SK,서승구
S텔16216,우)더원네트웍스,더원네트웍스,후불)텔링크SK,김선우
S텔24659,수)더줌텔레콤(천안),더줌텔레콤,후불)텔링크SK,김성수
S텔22085,구)더컴퍼니(고양),더컴퍼니,후불)텔링크SK,서승구
S텔24279,구)더컴퍼니(행신점),더컴퍼니 행신점,후불)텔링크SK,서승구
S텔22159,웅)더플레이,더플레이,후불)텔링크SK,정선웅
S텔21645,준)덕계리통신(양주),덕계리통신,후불)텔링크SK,황병준
S텔22028,수)덕소루,ROO정보통신,후불)텔링크SK,김성수
S텔25132,준)덤플,주식회사파인제이솔루션,후불)텔링크SK,황병준
S텔21545,준)덤플,삼낭모바일,후불)텔링크SK,황병준
S텔22592,열)데오통신(부산),데오통신,후불)텔링크SK,박종열
S텔23810,웅)도경글로벌,도경글로벌,후불)텔링크SK,정선웅
S텔24654,웅)도매시장(옥천),도매시장,후불)텔링크SK,정선웅
S텔21819,열)도매폰(광주),도매폰,후불)텔링크SK,박종열
S텔22082,열)도매폰(광주오포),도매폰 광주점,후불)텔링크SK,박종열
S텔22075,수)도매폰(다산),도매폰,후불)텔링크SK,김성수
S텔20155,수)도매폰(미아),도매폰,후불)텔링크SK,김성수
S텔21824,열)도매폰(수원),도매폰,후불)텔링크SK,박종열
S텔20164,수)도매폰(의정부),도매폰 의정부,후불)텔링크SK,김성수
S텔19720,민)도매폰2010(평택),도매폰 2010,후불)텔링크SK,김민준
S텔25559,영)독도텔레콤(암사),독도텔레콤,후불)텔링크SK,원세영
S텔23710,영)독도폰(경주),독도폰,후불)텔링크SK,원세영
S텔16522,웅)돌고래통신,돌고래통신,후불)텔링크SK,정선웅
S텔24074,영)돌고래통신(쌍문점),더티진,후불)텔링크SK,원세영
S텔22226,수)돌다리텔레콤(구리),돌다리텔레콤,후불)텔링크SK,김성수
S텔20794,웅)동대문모바일,동대문텔레콤,후불)텔링크SK,정선웅
S텔20278,웅)동부나이스드림,나이스드림,후불)텔링크SK,정선웅
S텔21662,영)동이(송파),동이,후불)텔링크SK,원세영
S텔21820,열)동탄2일등폰,동탄2일등폰,후불)텔링크SK,박종열
S텔20576,준)동탄호수공원,도매통신 산척점,후불)텔링크SK,황병준
S텔17759,민)돼지텔레콤(당진),돼지텔레콤,후불)텔링크SK,김민준
S텔24232,수)두리서(마석),두리서 창현점,후불)텔링크SK,김성수
S텔21675,수)두리텔레콤(동작),두리텔레콤,후불)텔링크SK,김성수
S텔16032,수)두용모바일(용문),두용모바일,후불)텔링크SK,김성수
S텔21068,민)두청년,두청년3,후불)텔링크SK,김민준
S텔20145,민)두청년,두청년2,후불)텔링크SK,김민준
S텔20141,민)두청년,두청년,후불)텔링크SK,김민준
S텔16341,웅)두폰,두폰,후불)텔링크SK,정선웅
S텔21840,민)드림(부평),드림,후불)텔링크SK,김민준
S텔23328,열)드림모바일(광주),드림모바일,후불)텔링크SK,박종열
S텔25423,영)드림모바일(마산),드림모바일,후불)텔링크SK,원세영
S텔15970,영)드림온정보통신,드림온정보통신,후불)텔링크SK,원세영
S텔24993,구)드림텔레콤(번동),드림텔레콤,후불)텔링크SK,서승구
S텔22200,영)드림텔레콤(안산),드림텔레콤,후불)텔링크SK,원세영
S텔21617,열)드림텔레콤(원주),드림텔레콤,후불)텔링크SK,박종열
S텔16512,구)드림통신(구로),드림통신,후불)텔링크SK,서승구
S텔23639,구)드림통신(전주),드림통신,후불)텔링크SK,서승구
S텔25361,열)든든모바일(안산),든든모바일,후불)텔링크SK,박종열
S텔24242,영)디비통신(동백점),디비통신,후불)텔링크SK,원세영
S텔22167,영)디비통신(용인),디비통신(용인),후불)텔링크SK,원세영
S텔21733,준)디에스(을지로),주식회사 디에스통신 을지로점,후불)텔링크SK,황병준
S텔21732,준)디에스(을지로),유니온모바일,후불)텔링크SK,황병준
S텔21646,준)디에스(을지로),(주)디에스통신,후불)텔링크SK,황병준
S텔20457,준)디에스(을지로),제이제이 모바일,후불)텔링크SK,황병준
S텔21955,수)디에스모바일(별내),디에스(DS)모바일,후불)텔링크SK,김성수
S텔21594,열)디에스솔루션(수원),디에스솔류션,후불)텔링크SK,박종열
S텔21383,영)디에스컴퍼니(대전),디에스컴퍼니,후불)텔링크SK,원세영
S텔21856,영)디제이모바일,디제이모바일,후불)텔링크SK,원세영
S텔20172,영)디지싸본점,디지싸본점,후불)텔링크SK,원세영
S텔22412,열)디피알(성남),디피알,후불)텔링크SK,박종열
S텔23911,수)딩동댕이동통신,딩동댕이동통신,후불)텔링크SK,김성수
S텔22248,웅)딩딩모바일,딩딩모바일,후불)텔링크SK,정선웅
S텔23901,영)따베르나(용인),따베르나,후불)텔링크SK,원세영
S텔24079,구)따봉통신(김제),따봉통신,후불)텔링크SK,서승구
S텔23658,수)딸랑이통신,딸랑이통신,후불)텔링크SK,김성수
S텔21877,영)딸부자통신(원주),딸부자통신(원주),후불)텔링크SK,원세영
S텔25393,구)땅폰젤미점(김해),땅폰젤미점,후불)텔링크SK,서승구
S텔24793,구)땡큐모바일(홍제),땡큐모바일,후불)텔링크SK,서승구
S텔22644,영)똥개텔레콤(부평),똥개텔레콤,후불)텔링크SK,원세영
S텔16269,영)뚜뚜통신,뚜뚜통신,후불)텔링크SK,원세영
S텔23608,구)라나컴퓨터,라나컴퓨터,후불)텔링크SK,서승구
S텔22915,구)라니통신(정읍),라니통신,후불)텔링크SK,서승구
S텔23062,수)라라네트웍스(의정부),라라네트웍스,후불)텔링크SK,김성수
S텔25062,수)라라모바일(노원),라라모바일,후불)텔링크SK,김성수
S텔22083,영)라라통신(수원),라라통신,후불)텔링크SK,원세영
S텔21811,구)라베니체폰,라베니체폰,후불)텔링크SK,서승구
S텔26168,민)라온모바일(파주),라온모바일,후불)텔링크SK,김민준
S텔21202,수)라임통신(관악),라임통신,후불)텔링크SK,김성수
S텔24508,구)라피크모바일(중곡),라피크모바일,후불)텔링크SK,서승구
S텔25648,준)람경통신,람경통신 국민대점,후불)텔링크SK,황병준
S텔25617,준)람경통신,람경통신 한양대점,후불)텔링크SK,황병준
S텔25425,준)람경통신,람경통신 청주대,후불)텔링크SK,황병준
S텔24372,준)람경통신,람경통신 유한회사,후불)텔링크SK,황병준
S텔21930,준)람경통신,제이원통신,후불)텔링크SK,황병준
S텔21925,준)람경통신,에스원자파,후불)텔링크SK,황병준
S텔21371,준)람경통신,케이원텔5호점,후불)텔링크SK,황병준
S텔22878,준)랍스마트폰,랍스마트폰,후불)텔링크SK,황병준
S텔23096,열)러브모바일(대전),러브모바일(갈마점),후불)텔링크SK,박종열
S텔20219,준)러화국제,러화국제주식회사,후불)텔링크SK,황병준
S텔23465,구)럭키정보통신,㈜럭키정보통신천천중앙지점,후불)텔링크SK,서승구
S텔20904,구)럭키정보통신,주식회사제이제이텔레콤,후불)텔링크SK,서승구
S텔16404,구)럭키정보통신,(주)럭키정보통신,후불)텔링크SK,서승구
S텔24165,영)레드모바일,원텔레콤,후불)텔링크SK,원세영
S텔23487,영)레드모바일,준텔레콤,후불)텔링크SK,원세영
S텔23434,영)레드모바일,훈텔레콤,후불)텔링크SK,원세영
S텔22069,영)레드모바일,(주)레드,후불)텔링크SK,원세영
S텔21993,영)레드모바일,길동텔레콤,후불)텔링크SK,원세영
S텔17507,영)레드모바일,(주)둥이종합조경,후불)텔링크SK,원세영
S텔24388,영)레드모바일(안동),서울 동장구일석,후불)텔링크SK,원세영
S텔20418,준)레전드,레전드모바일3호점,후불)텔링크SK,황병준
S텔20404,준)레전드,축복모바일,후불)텔링크SK,황병준
S텔20402,준)레전드,일등 통신,후불)텔링크SK,황병준
S텔20399,준)레전드,미사역휴대폰,후불)텔링크SK,황병준
S텔20819,수)렐레(창동),렐레,후불)텔링크SK,김성수
S텔26333,수)로그인텔레콤(동두천),로그인텔레콤,후불)텔링크SK,김성수
S텔21770,열)로또텔레콤(고척),로또텔레콤,후불)텔링크SK,박종열
S텔20579,수)로원텔레콤(의정부),로원텔레콤,후불)텔링크SK,김성수
S텔20161,수)루시(길동),루시텔레콤,후불)텔링크SK,김성수
S텔20151,수)루아모바일(장현),루아모바일,후불)텔링크SK,김성수
S텔21439,수)루키텔레콤(수진),루키텔레콤,후불)텔링크SK,김성수
S텔26020,수)루하이모바일(청평),루하이모바일,후불)텔링크SK,김성수
S텔20701,열)리더스텔레콤(교대점),리더스텔레콤 교대점,후불)텔링크SK,박종열
S텔23910,웅)리더정보통신(청주),휴대폰하우스,후불)텔링크SK,정선웅
S텔19602,열)리사모바일(광주),리사모바일,후불)텔링크SK,박종열
S텔21030,민)리아,리아,후불)텔링크SK,김민준
S텔20918,수)리치모바일(동대문),리치모바일,후불)텔링크SK,김성수
S텔24612,열)리프로젝트솔루션(창원),리프로젝트솔루션,후불)텔링크SK,박종열
S텔24616,열)마루모바일(경주),마루모바일,후불)텔링크SK,박종열
S텔21093,수)마루텔레콤(왕십리),마루텔레콤,후불)텔링크SK,김성수
S텔22493,영)마마통신,마마통신,후불)텔링크SK,원세영
S텔21498,구)마모텔레콤(용산),마모텔레콤,후불)텔링크SK,서승구
S텔17815,열)마이모바일(중랑),마이모바일,후불)텔링크SK,박종열
S텔20227,영)마이통신(고대점),마이통신,후불)텔링크SK,원세영
S텔16352,웅)마카롱통신,마카롱통신,후불)텔링크SK,정선웅
S텔20349,영)만월,만월,후불)텔링크SK,원세영
S텔17322,수)만평통신(대구),만평통신,후불)텔링크SK,김성수
S텔21505,민)매니아MNC,매니아M&C,후불)텔링크SK,김민준
S텔22043,영)매직정보,매직정보,후불)텔링크SK,원세영
S텔20603,열)맥스컴퍼니(동탄),맥스컴퍼니,후불)텔링크SK,박종열
S텔20692,수)맨앤텔(테크노마트),맨앤텔 ㈜,후불)텔링크SK,김성수
S텔20908,영)머천드코리아(마포),머천드코리아,후불)텔링크SK,원세영
S텔21896,구)멀티샵(부안),멀티샵,후불)텔링크SK,서승구
S텔22011,수)메가정보통신(동대문),메가정보통신,후불)텔링크SK,김성수
S텔22741,구)메리통신3호점(성남),메리통신 3호점,후불)텔링크SK,서승구
S텔17070,구)명선통신,명선통신,후불)텔링크SK,서승구
S텔16454,구)명성대박,명성대박통신,후불)텔링크SK,서승구
S텔19425,수)명성텔레콤(은평),명성텔레콤,후불)텔링크SK,김성수
S텔20916,열)명진정보통신(광주),명진정보통신,후불)텔링크SK,박종열
S텔24158,영)명텔레콤,명텔레콤,후불)텔링크SK,원세영
S텔23006,영)모두다,모두다,후불)텔링크SK,원세영
S텔22685,열)모두의폰(성남),휴대폰성지모두의폰,후불)텔링크SK,박종열
S텔24244,웅)모두통신(수원),모두통신,후불)텔링크SK,정선웅
S텔21744,웅)모람통신,모람통신,후불)텔링크SK,정선웅
